scenario,time,active_operating_mode_name,fleet_shift_count,fleet_shift_timer,face1_target_extraction_rate,face1_real_extraction_rate,face1_achieved_extraction_rate,face1_operational_downtime_fraction,face2_target_extraction_rate,face2_real_extraction_rate,face2_achieved_extraction_rate,face2_operational_downtime_fraction,total_target_extraction_rate,total_real_extraction_rate,total_achieved_extraction_rate,capacity_gap_rate,capacity_utilization,Ore1Stock_mass,Ore2Stock_mass,total_system_ore_mass,mixed_ore1_fraction
Dynamic Fleet Allocation,7.0,MODE_A,15,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,7.5,MODE_A,16,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,8.0,MODE_A,17,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,8.239089544321983,MODE_A,17,0.2390895443219822,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.5792708410901886
Dynamic Fleet Allocation,8.5,MODE_A,18,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41967.549274218116,18032.450725781884,60000.0,0.5792708410901886
Dynamic Fleet Allocation,9.0,MODE_A,19,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41905.36179748868,18094.63820251132,60000.0,0.5792708410901886
Dynamic Fleet Allocation,9.5,MODE_A,20,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41843.174320759244,18156.825679240756,60000.0,0.5792708410901886
Dynamic Fleet Allocation,10.0,MODE_A,21,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41780.98684402981,18219.01315597019,60000.0,0.5792708410901886
Dynamic Fleet Allocation,10.5,MODE_A,22,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41718.79936730037,18281.200632699627,60000.0,0.5792708410901886
Dynamic Fleet Allocation,11.0,MODE_A,23,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41656.61189057094,18343.388109429063,60000.0,0.5792708410901886
Dynamic Fleet Allocation,11.5,MODE_A,24,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41594.4244138415,18405.5755861585,60000.0,0.5792708410901886
Dynamic Fleet Allocation,12.0,MODE_A,25,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41532.236937112066,18467.763062887934,60000.0,0.5792708410901886
Dynamic Fleet Allocation,12.5,MODE_A,26,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41470.04946038263,18529.95053961737,60000.0,0.5792708410901886
Dynamic Fleet Allocation,13.0,MODE_A,27,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41407.861983653194,18592.138016346806,60000.0,0.5792708410901886
Dynamic Fleet Allocation,13.5,MODE_A,28,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41345.67450692376,18654.32549307624,60000.0,0.5792708410901886
Dynamic Fleet Allocation,14.0,MODE_A,29,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41283.48703019432,18716.512969805677,60000.0,0.5792708410901886
Dynamic Fleet Allocation,14.5,MODE_A,30,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41221.29955346489,18778.700446535113,60000.0,0.5792708410901886
Dynamic Fleet Allocation,15.0,MODE_A,31,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41159.11207673545,18840.88792326455,60000.0,0.5792708410901886
Dynamic Fleet Allocation,15.5,MODE_A,32,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41096.924600006016,18903.075399993984,60000.0,0.5792708410901886
Dynamic Fleet Allocation,16.0,MODE_A,33,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,41034.73712327658,18965.26287672342,60000.0,0.5792708410901886
Dynamic Fleet Allocation,16.5,MODE_A,34,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40972.549646547144,19027.450353452856,60000.0,0.5792708410901886
Dynamic Fleet Allocation,16.58862885972157,MODE_A,34,0.08862885972156945,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40961.52643624416,19038.473563755837,60000.0,0.5845265020259407
Dynamic Fleet Allocation,17.0,MODE_A,35,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40923.33433321005,19076.665666789944,59999.99999999999,0.5845265020259407
Dynamic Fleet Allocation,17.5,MODE_A,36,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40876.91383928787,19123.086160712122,59999.999999999985,0.5845265020259407
Dynamic Fleet Allocation,18.0,MODE_A,37,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40830.493345365685,19169.5066546343,59999.999999999985,0.5845265020259407
Dynamic Fleet Allocation,18.5,MODE_A,38,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40784.0728514435,19215.92714855648,59999.999999999985,0.5845265020259407
Dynamic Fleet Allocation,19.0,MODE_A,39,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40737.65235752132,19262.347642478657,59999.99999999998,0.5845265020259407
Dynamic Fleet Allocation,19.5,MODE_A,40,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40691.23186359914,19308.768136400835,59999.99999999997,0.5845265020259407
Dynamic Fleet Allocation,20.0,MODE_A,41,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40644.81136967696,19355.188630323013,59999.99999999997,0.5845265020259407
Dynamic Fleet Allocation,20.5,MODE_A,42,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40598.390875754776,19401.60912424519,59999.99999999997,0.5845265020259407
Dynamic Fleet Allocation,21.0,MODE_A,43,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40551.970381832594,19448.02961816737,59999.99999999996,0.5845265020259407
Dynamic Fleet Allocation,21.5,MODE_A,44,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40505.54988791041,19494.450112089547,59999.999999999956,0.5845265020259407
Dynamic Fleet Allocation,22.0,MODE_A,45,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,40459.12939398823,19540.870606011726,59999.999999999956,0.5845265020259407
